URL,Table Name,Record ID,Field Name,Size (Bytes),Size (KB),Size (MB),Format,Cloudinary Optimized,Flagged
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/category-images/categories/1771870051422.jpg","categories","82306361-239e-4c8c-9f87-19f84fc119b6","image_url",5108018,4988.30,4.87,"image/jpeg","NO","FLAGGED (Missing f_auto,q_auto)"
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/product-images/products/1769424400150.jpg","products","5bd6386e-fc49-4f1e-a399-e8a896ca0fa7","images[0]",4869926,4755.79,4.64,"image/jpeg","NO","FLAGGED (Missing f_auto,q_auto)"
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/product-images/products/1769424582354.jpg","products","ce7e5e34-d355-4ef2-9dbe-4e3bfd18b1ff","images[0]",4587713,4480.19,4.38,"image/jpeg","NO","FLAGGED (Missing f_auto,q_auto)"
"https://res.cloudinary.com/dmj0smemf/image/upload/v1783593526/file_00000000874471fdbd68620c7c282d8d_rylxao.png","products","76d1672d-da58-41ae-a957-1fe5416279ab","images[0]",2690933,2627.86,2.57,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://res.cloudinary.com/dmj0smemf/image/upload/v1783593523/file_00000000c84471f8a06f8fc5ec7afce8_f0qf02.png","products","7b5133b5-2205-4b0c-90a6-8435c969dfcd","images[0]",2511034,2452.18,2.39,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://res.cloudinary.com/dmj0smemf/image/upload/v1783593523/file_00000000204071fd8f39455a396b7ab5_wuwzl2.png","products","1d457f5e-75a9-4d05-811a-949eb5b0e30f","images[0]",2483243,2425.04,2.37,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/category-images/categories/1771872672651.png","categories","fa311e48-220c-4b1d-955c-4f58bfb536b1","image_url",2238122,2185.67,2.13,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/category-images/categories/1771960919187.png","categories","0fdbe616-02f8-4e45-a61c-7800c663e3f8","image_url",2169131,2118.29,2.07,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/category-images/categories/1771871836765.png","categories","df22b087-0b08-41df-92a8-b5051976c01c","image_url",2119947,2070.26,2.02,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/category-images/categories/1771872966657.png","categories","6f39311c-a615-4e2a-9cee-aa9a1459c16d","image_url",2072007,2023.44,1.98,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/category-images/categories/1771872779822.png","categories","6399e99f-f5cd-48af-a3f2-42967923326f","image_url",2060253,2011.97,1.96,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://jifilpkqppcxwinymqic.supabase.co/storage/v1/object/public/category-images/categories/1771872387437.png","categories","b4f352a2-aed7-41f4-aa59-7d4c5047577d","image_url",1967222,1921.12,1.88,"image/png","NO","FLAGGED (Missing f_auto,q_auto)"
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412896/DSC08524.jpg","products","74c3723c-1c27-4f19-8622-4935272d838c","images[0]",1352789,1321.08,1.29,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412897/DSC08529.jpg","products","44b5b2d6-4eaf-4647-bb66-85a9bee32c86","images[0]",1332675,1301.44,1.27,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412915/DSC08534.jpg","products","94088d5b-42ea-4813-a5d6-c71038f8c5a1","images[0]",1267585,1237.88,1.21,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412925/DSC08022.jpg","products","e52775c6-a451-40a8-a368-374b397b9f38","images[0]",1181483,1153.79,1.13,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412968/Namkeen_Kaju_Samosa.jpg","products","4ba84b3a-8c11-4a55-ad93-549479c0390e","images[0]",1088720,1063.20,1.04,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412968/Namkeen_Kaju_Samosa.jpg","products","197ac33d-cf33-4d32-ac14-4ef8417014b1","images[0]",1088720,1063.20,1.04,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412895/DSC07947.jpg","products","677c5cfb-aba0-4a36-abd9-283d9ce61999","images[1]",1083248,1057.86,1.03,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412946/Gur_Mini_Mathri.jpg","products","c336536e-bf1c-41d4-81e3-d912715372bb","images[0]",1059362,1034.53,1.01,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412946/Gur_Mini_Mathri.jpg","products","8681f027-784d-4d8d-bcbd-4bf3a5176353","images[0]",1059362,1034.53,1.01,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412930/Masala_Aloo_Laccha.jpg","products","c7289928-95a7-4858-aee9-04aec7d2ceb7","images[0]",1056526,1031.76,1.01,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412960/Meethi_Mini_Mathri.jpg","products","8783bd05-6870-4c35-a364-126e630c59c0","images[0]",1052773,1028.10,1.00,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412960/Meethi_Mini_Mathri.jpg","products","cf24a745-0360-406f-9fe4-90fc7865acb7","images[0]",1052773,1028.10,1.00,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412962/Plain_Bhujiya.jpg","products","889900bc-77ca-4746-8814-47dded03bb99","images[0]",1048392,1023.82,1.00,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412902/Masala_Namakpara.jpg","products","27e3a017-fe5b-4ff6-8881-b631100ab312","images[0]",917530,896.03,0.88,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412902/Masala_Namakpara.jpg","products","6e14ba3d-5844-41ab-8b0f-9487e2221589","images[0]",917530,896.03,0.88,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412919/Masala_Chiwda.jpg","products","fad0110a-27a8-43ba-ac6f-5242794eaeab","images[0]",892093,871.18,0.85,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412909/Bikaneri_Khasta.jpg","products","24d09bd2-b226-4dc6-92c3-36d605255720","images[0]",887929,867.12,0.85,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412951/Shakkar_Para.jpg","products","9bf2526b-2bab-40b0-b300-bc516ebf8c45","images[0]",887390,866.59,0.85,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412951/Shakkar_Para.jpg","products","85831d1c-4145-4c83-81bc-7a06ca96bcd2","images[0]",887390,866.59,0.85,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412951/Shakkar_Para.jpg","products","be30bdfa-0c1e-4e07-879f-267a41d68976","images[0]",887390,866.59,0.85,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412947/Laiya_Laddu.jpg","products","55d0058e-3fe5-42e5-82b9-b4ed332f8b59","images[0]",877326,856.76,0.84,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412947/Laiya_Laddu.jpg","products","74b2534c-770c-4f85-8f05-c427ad5414e3","images[0]",877326,856.76,0.84,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412919/Mini_Samosa.jpg","products","512447a5-4120-47bd-9498-fed6e2e90210","images[0]",872807,852.35,0.83,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412894/Achari_Mathri.jpg","products","c15c59c2-9d75-48aa-9f3a-5da8ad55ebf0","images[0]",858526,838.40,0.82,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412894/Achari_Mathri.jpg","products","064e881b-7c3b-4abe-9a3a-d6f5a7a7c1dd","images[0]",858526,838.40,0.82,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412936/Aloo_Bhujiya.jpg","products","cf6321f3-9af1-4b8a-be03-edd7553f4b8a","images[0]",858492,838.37,0.82,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412911/DSC08003.jpg","products","ad692a6c-1e70-4d35-9308-79c748ce0f12","images[0]",857824,837.72,0.82,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412932/Pudina_Chips.jpg","products","65370b2d-64fd-42fc-a12e-455f51f9c464","images[0]",830330,810.87,0.79,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412921/Testy_Dalmot.jpg","products","85fe4220-21a0-4473-8d8c-5d929fb4dbae","images[0]",826355,806.99,0.79,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412935/Tomato_Chips.jpg","products","9143d94a-587e-4d53-9f09-f634c3c75fd9","images[0]",823279,803.98,0.79,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412963/Ratlami_Sev.jpg","products","bb37e34e-344c-4eda-b9b4-30afeb1a5398","images[0]",822220,802.95,0.78,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412920/Namakpara.jpg","products","6f79dd90-82d3-4453-8d27-a46a1212928f","images[0]",816029,796.90,0.78,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412935/Til_Mathri.jpg","products","831ca806-cf66-4769-a9f1-1b7b7ce8244b","images[0]",815909,796.79,0.78,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412935/Til_Mathri.jpg","products","84c2ba01-2646-4002-98c1-bf9202d82363","images[0]",815909,796.79,0.78,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412900/Gujrati_Cornflakes.jpg","products","75d817f9-14ef-4c59-86a6-4f5e2c4e06fd","images[0]",805065,786.20,0.77,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412903/Ajwain_Mathri_.jpg","products","cb689a23-8211-4e92-9dc2-d4f31b72b00c","images[0]",802858,784.04,0.77,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412903/Suji_Mathri.jpg","products","c08bb9bc-54a4-4489-8fb3-0be93b694d14","images[0]",802858,784.04,0.77,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412922/DSC07948.jpg","products","03b5d77b-aed3-43cd-81f6-96b7d9a1a458","images[1]",802664,783.85,0.77,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/f_auto,q_auto/Meetha_Namak_Para.jpg","products","c6ca87e0-5c9c-4b82-b07f-74a78a4acc44","images[0]",801830,783.04,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412947/Meetha_Namak_Para.jpg","products","74522513-97d4-4aaa-85b8-63fb72cab931","images[0]",801830,783.04,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412964/DSC07955.jpg","products","03b5d77b-aed3-43cd-81f6-96b7d9a1a458","images[0]",800740,781.97,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412922/Besan_Gathiya.jpg","products","657e6fe9-d266-4ad5-9194-64f683a8ac38","images[0]",800327,781.57,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412939/DSC07994.jpg","products","4101efd2-34cc-4462-ad59-d5ffccfae81d","images[0]",797721,779.02,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412918/Kanpuri_Mixture.jpg","products","85bd56a1-ac4b-4df8-bda7-7827a8b3f84e","images[0]",794837,776.21,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412951/Bhakar_Badi.jpg","products","b2feb435-7d70-4a16-8870-b4851878d0d5","images[0]",792967,774.38,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412951/Bhakar_Badi.jpg","products","91df6146-4b50-4e78-a69c-1efb6d696ebe","images[0]",792967,774.38,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412951/Bhakar_Badi.jpg","products","07ad330e-4d18-4a44-a168-ce3b90e6c1a5","images[0]",792967,774.38,0.76,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412930/Kashmiri_Mixture.jpg","products","53465121-52c1-47eb-bf6e-85c841bc0d2d","images[0]",785961,767.54,0.75,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412930/Kashmiri_Mixture.jpg","products","e9824b51-7873-4c0e-a6e1-f8e78cc45602","images[0]",785961,767.54,0.75,"image/jpeg","YES",""
"https://res.cloudinary.com/danag6hn5/image/upload/q_auto/f_auto/v1775412917/Hing_Sev.jpg","products","8c540dcb-38e4-49ba-80d9-4e39041cdc6c","images[0]",785796,767.38,0.75,"image/jpeg","YES",""
